Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"147305478040",Venomoth 049/165 Scarlet & Violet 151 Reverse Holo NM,,05.19.26,"4","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-11-26 07:10:00 PDT","Jul-11-26 07:10:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147305482659",Victreebel 071/165 Scarlet & Violet 151 Reverse Holo NM Pokemon,,05.19.26,"4","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-11-26 07:11:51 PDT","Jul-11-26 07:11:51 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147306694444",Master Ball 153/162 ACE SPEC NM Pokemon,,05.19.26,"2","FIXED_PRICE","USD",5.0,,,5.0,"0","","","May-11-26 23:21:34 PDT","Jul-11-26 23:21:34 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147317919204",Zapdos ex 192/165 Pokemon 151 Ultra Rare,,05.19.26,"1","FIXED_PRICE","USD",15.99,,,15.99,"0","","","May-18-26 19:30:04 PDT","Jul-18-26 19:30:04 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147320683627",Mega Gardevoir ex Holo Promo ME: Mega Evolution Promo 032 NM,,05.20.26-1-003,"1","FIXED_PRICE","USD",12.99,,,12.99,"0","","","May-20-26 08:07:43 PDT","Jul-20-26 08:07:43 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147323836511",Gengar 050/088 Rare Perfect Order Pokemon Reverse Holo Near Mint,,,"1","FIXED_PRICE","USD",1.99,,,1.99,"0","1","0","May-21-26 19:24:44 PDT","Jul-21-26 19:24:44 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147323871055",Poké ball Trainer Japanese Pocket Monsters Jungle Set,,,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","May-21-26 19:39:38 PDT","Jul-21-26 19:39:38 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Lightly played (Excellent)","","US","","",""
"147328711009",Electrode 088/264 Cosmos Holo Fusion Strike,,,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","May-24-26 07:48:55 PDT","Jul-24-26 07:48:55 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147328720196",Pokémon TCG Scarlet & Violet Spiritomb #129/198 Rare Cosmos Holo Promo NM,,,"1","FIXED_PRICE","USD",4.75,,,4.75,"0","","","May-24-26 07:56:12 PDT","Jul-24-26 07:56:12 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147328720903",Pokémon TCG Sableye 136/193 - Near Mint Cosmos Holo Promo - Paldea Evolved,,,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","May-24-26 07:57:56 PDT","Jul-24-26 07:57:56 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
