Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN,audit_price_column,audit_price,price_under_0_99,price_equal_0_99,price_under_1_49,price_over_100
147336997249,"Sita Varma, Masked Racer (Borderless) DFT R NM",,05.28.26.1-016,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997250,Snow Villiers FIN U NM,,05.28.26.1-007,1,FIXED_PRICE,USD,1.29,,,1.29,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.29,False,False,True,False
147351665593,Skrelp 058/086 Common ME04: Chaos Rising Pokemon Reverse Holo Near Mint,,,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Jun-04-26 10:10:54 PDT,Jul-04-26 10:10:54 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147351665933,Trevenant 039/086 Me04: Chaos Rising Holo,,,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Jun-04-26 10:11:49 PDT,Jul-04-26 10:11:49 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,5094029390,US,,,,Current price,0.99,False,True,True,False
147351666544,Adversity Policy 074/086 Me04: Chaos Rising Reverse Holo,,,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Jun-04-26 10:13:02 PDT,Jul-04-26 10:13:02 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,27094021431,US,,,,Current price,0.99,False,True,True,False
147360995517,Artazon 171/193 Sv02: Paldea Evolved Regular,,,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-08-26 20:31:23 PDT,Jul-08-26 20:31:23 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,22060713495,US,,,,Current price,1.09,False,False,True,False
147361002648,Acerola's Mischief 113/132 Me01: Mega Evolution Reverse Holo,,,1,FIXED_PRICE,USD,1.09,,,1.09,0,1,0,Jun-08-26 20:40:19 PDT,Jul-08-26 20:40:19 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,11085832147,US,,,,Current price,1.09,False,False,True,False
147361003869,Lt. Surge's Bargain 120/132 Me01: Mega Evolution Reverse Holo,,,2,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-08-26 20:42:48 PDT,Jul-08-26 20:42:48 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,13085859440,US,,,,Current price,1.09,False,False,True,False
147367215260,Crobat Holo Rare ME04: Chaos Rising 051/086 NM,,06.11.26.1-003,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Jun-11-26 10:24:34 PDT,Jul-11-26 10:24:34 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147367215263,Xerneas Holo Rare ME04: Chaos Rising 042/086 NM,,06.11.26.1-002,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Jun-11-26 10:24:34 PDT,Jul-11-26 10:24:34 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
