game,display_name,current_location,used_locations,suggested_next_location
magic,Magic / MTG,ETB-04-A,ETB-04-A,ETB-04-B
one_piece,One Piece,ETB-05-A,ETB-05-A,ETB-05-B
pokemon,Pokemon,ETB-01-A,ETB-01-A,ETB-01-B
