"*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8)","ItemID","*Category","*Title","Subtitle","CustomLabel","*ConditionID","CD:Card Condition - (ID: 40001)","C:Card Condition","*C:Game","*C:Sport","PicURL","*Description","*Format","*Duration","ScheduleTime","*StartPrice","BuyItNowPrice","*Quantity","*DispatchTimeMax","ShippingProfileName","*C:Set","*C:Rarity","*C:Speciality","*C:Finish","*C:Card Type","*C:Card Name","*C:Illustrator","*C:Manufacturer","*C:Graded","*C:Attribute/MTG:Colour","*C:Card Size","*C:Character","*C:Language","*C:Stage","*C:Country/Region of Manufacture","*C:Country of Origin","*C:Age Level","*C:Card Number","*C:Year Manufactured","*C:Autographed","C:Player/Athlete","C:Signed By","C:Season","C:Parallel/Variety","C:Features","C:League","C:Team","C:Autograph Authentication","C:Autograph Authentication Number","C:Autograph Format","*C:Material","PostalCode","WeightMajor","WeightMinor","PackageLength","PackageWidth","PackageDepth","WeightUnit","BestOfferEnabled","MinimumBestOfferPrice","BestOfferAutoAcceptPrice","StoreCategory","Storecategory2","PaymentProfileName","ReturnProfileName","Location"
"Add","","183454","AIPOM 056/078 POKEMON GO REVERSE HOLO COMMON NM","","CS-BFSGCG","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","Pokémon TCG","","https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/141d6e4a7ef13d374ee8fa2461ce582a.png|https://images.carduploader.com/cards/2026/06/30/916017bee69065367c7cd817f7857d9c.jpg|https://images.carduploader.com/cards/2026/06/30/4bb68f466715076152c086ee83f2c3ba.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Pokemon GO","Common","","","Pokemon","Aipom","Sanosuke Sakuma","Nintendo","No","Colorless","Standard","Aipom","English","Basic","USA","United States","6+","056/078","2022","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39837334017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","KLINK 123/195 SILVER TEMPEST REVERSE HOLO COMMON NM","","CS-Y7WDPK","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","Pokémon TCG","","https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/89b2d792aeeb908fd760e995e44f014e.png|https://images.carduploader.com/cards/2026/06/30/664e2feac75c2d52b64abfcb8ccd8e06.jpg|https://images.carduploader.com/cards/2026/06/30/e0ce38aa010f6f8a4f9b7288815b199c.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Silver Tempest","Common","","","Pokemon","Klink","Kyoko Umemoto","Nintendo","No","Metal","Standard","Klink","English","Basic","USA","United States","6+","123/195","2022","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39837334017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","GRAVELER 34/68 HIDDEN FATES REVERSE HOLO UNCOMMON NM","","CS-4CMAQT","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","Pokémon TCG","","https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/762175654f0250889c163f8d99c6a553.png|https://images.carduploader.com/cards/2026/06/30/4e904e5c56be1c9f879e5affa1c9cf7a.jpg|https://images.carduploader.com/cards/2026/06/30/e25336909585917598ebfb19173ac54d.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Hidden Fates","Uncommon","","","Pokemon","Graveler","Ken Sugimori","Nintendo","No","Fighting","Standard","Graveler","English","Stage 1","USA","United States","6+","34/68","2019","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39837334017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","GLAMEOW 159/214 UNBROKEN BONDS REVERSE HOLO COMMON NM","","CS-GMMNEM","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","Pokémon TCG","","https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/4a31f30270caa9abf0520ea8a70d9e07.png|https://images.carduploader.com/cards/2026/06/30/59a32a7d00a3091f8ec8bdf303191286.jpg|https://images.carduploader.com/cards/2026/06/30/ac9321cbb8633cca1c192b14838419ba.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Unbroken Bonds","Common","","","Pokemon","Glameow","sowsow","Nintendo","No","Colorless","Standard","Glameow","English","Basic","USA","United States","6+","159/214","2019","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39837334017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","GOGOAT 36/214 LOST THUNDER REVERSE HOLO UNCOMMON NM","","CS-6FYUAJ","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","Pokémon TCG","","https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/497e4de1e72053c8571e6078438e7697.png|https://images.carduploader.com/cards/2026/06/30/1568e3581a0fb12b04b88bf8a7068963.jpg|https://images.carduploader.com/cards/2026/06/30/3470e7c70c4a62a5332f29a36a0a381d.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Lost Thunder","Uncommon","","","Pokemon","Gogoat","sowsow","Nintendo","No","Grass","Standard","Gogoat","English","Stage 1","USA","United States","6+","36/214","2018","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39837334017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","LOMBRE 033/203 EVOLVING SKIES REVERSE HOLO UNCOMMON NM","","CS-5TUGS9","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","Pokémon TCG","","https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/06408097c973f33b112798ae25173ba3.png|https://images.carduploader.com/cards/2026/06/30/e06cb530645722d948da13dd5313641c.jpg|https://images.carduploader.com/cards/2026/06/30/dea481a7a4a9501cd9e23d266bc5a13f.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Evolving Skies","Uncommon","","","Pokemon","Lombre","miki kudo","Nintendo","No","Water","Standard","Lombre","English","Stage 1","USA","United States","6+","033/203","2021","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39837334017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","ROSERADE 015/196 LOST ORIGIN REVERSE HOLO UNCOMMON NM","","CS-958UU7","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","Pokémon TCG","","https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/576eb5756cb1483f99bd6694358d4b7c.png|https://images.carduploader.com/cards/2026/06/30/5e075766cb755abafa6cc1e0c631d952.jpg|https://images.carduploader.com/cards/2026/06/30/f5831b967444053ed402b2e1d1913b4e.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Lost Origin","Uncommon","","","Pokemon","Roserade","313","Nintendo","No","Grass","Standard","Roserade","English","Stage 1","USA","United States","6+","015/196","2022","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39837334017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","CHIMCHAR 18/114 STEAM SIEGE REVERSE HOLO COMMON NM","","CS-TWS5D2","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","Pokémon TCG","","https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/6711ecf5a94aa566b30556cb6111d392.png|https://images.carduploader.com/cards/2026/06/30/3c50e4dba509b2c26f7804d3196c8177.jpg|https://images.carduploader.com/cards/2026/06/30/b40292229890afeab509bf3ae6f8ed84.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Steam Siege","Common","","","Pokemon","Chimchar","Shibuzoh.","Nintendo","No","Fire","Standard","Chimchar","English","Basic","USA","United States","6+","18/114","2016","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39837334017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","RELICANTH 101/196 LOST ORIGIN REVERSE HOLO UNCOMMON NM","","CS-J24QB5","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","Pokémon TCG","","https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/cb124b8ffbb338f350129b59bde3e74e.png|https://images.carduploader.com/cards/2026/06/30/43c21d39761ad21659822b86a1704ae6.jpg|https://images.carduploader.com/cards/2026/06/30/b8ec2ee080c1c344f8e56d7749a49f55.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Lost Origin","Uncommon","","","Pokemon","Relicanth","ryoma uratsuka","Nintendo","No","Fighting","Standard","Relicanth","English","Basic","USA","United States","6+","101/196","2022","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39837334017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","BLITZLE 44/181 TEAM UP REVERSE HOLO COMMON NM","","CS-7NMKVR","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","Pokémon TCG","","https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/795cc2605f962e1580cc23ff84d71ed3.png|https://images.carduploader.com/cards/2026/06/30/dc0733dff4d48eb77d87918dad30b7ed.jpg|https://images.carduploader.com/cards/2026/06/30/8e92f4ebdc917ed9be1de95bfe430e99.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Team Up","Common","","","Pokemon","Blitzle","Akira Komayama","Nintendo","No","Lightning","Standard","Blitzle","English","Basic","USA","United States","6+","44/181","2019","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39837334017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
