putnam_card_id,set_name,card_name,printed_number,product_id,product_name,status
pkm-ascended-heroes-17-217-8a7d78a5ed,Ascended Heroes,Grubbin,17/217,677006,Grubbin (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-17-217-8a7d78a5ed,Ascended Heroes,Grubbin,17/217,676866,Grubbin (Quick Ball),LINKED
pkm-ascended-heroes-18-217-75bd139886,Ascended Heroes,Team Rocket's Tarountula,18/217,675830,Team Rocket's Tarountula,LINKED
pkm-ascended-heroes-18-217-75bd139886,Ascended Heroes,Team Rocket's Tarountula,18/217,677007,Team Rocket's Tarountula (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-18-217-75bd139886,Ascended Heroes,Team Rocket's Tarountula,18/217,676867,Team Rocket's Tarountula (Team Rocket),LINKED
pkm-ascended-heroes-19-217-22bc2aca7a,Ascended Heroes,Team Rocket's Spidops,19/217,675831,Team Rocket's Spidops,LINKED
pkm-ascended-heroes-19-217-22bc2aca7a,Ascended Heroes,Team Rocket's Spidops,19/217,677008,Team Rocket's Spidops (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-19-217-22bc2aca7a,Ascended Heroes,Team Rocket's Spidops,19/217,676868,Team Rocket's Spidops (Team Rocket),LINKED
pkm-ascended-heroes-20-217-2c7d5e01b5,Ascended Heroes,Charmander,20/217,675832,Charmander,LINKED
pkm-ascended-heroes-20-217-2c7d5e01b5,Ascended Heroes,Charmander,20/217,677009,Charmander (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-20-217-2c7d5e01b5,Ascended Heroes,Charmander,20/217,676869,Charmander (Friend Ball),LINKED
pkm-ascended-heroes-21-217-6b8b987552,Ascended Heroes,Charmeleon,21/217,675833,Charmeleon,LINKED
pkm-ascended-heroes-21-217-6b8b987552,Ascended Heroes,Charmeleon,21/217,677010,Charmeleon (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-21-217-6b8b987552,Ascended Heroes,Charmeleon,21/217,676870,Charmeleon (Friend Ball),LINKED
pkm-ascended-heroes-22-217-892e5025fd,Ascended Heroes,Mega Charizard Y ex,22/217,675834,Mega Charizard Y ex - 022/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-23-217-93111f92b3,Ascended Heroes,Ethan's Slugma,23/217,675835,Ethan's Slugma,LINKED
pkm-ascended-heroes-23-217-93111f92b3,Ascended Heroes,Ethan's Slugma,23/217,677011,Ethan's Slugma (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-23-217-93111f92b3,Ascended Heroes,Ethan's Slugma,23/217,676871,Ethan's Slugma (Poke Ball),LINKED
pkm-ascended-heroes-24-217-506b030326,Ascended Heroes,Ethan's Magcargo,24/217,675836,Ethan's Magcargo - 024/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-24-217-506b030326,Ascended Heroes,Ethan's Magcargo,24/217,677012,Ethan's Magcargo - 024/217 (Energy Symbol Pattern),SKIP_NAME_MISMATCH
pkm-ascended-heroes-24-217-506b030326,Ascended Heroes,Ethan's Magcargo,24/217,676872,Ethan's Magcargo - 024/217 (Poke Ball),SKIP_NAME_MISMATCH
pkm-ascended-heroes-25-217-3bf2e0ebfc,Ascended Heroes,Entei,25/217,675837,Entei,LINKED
pkm-ascended-heroes-25-217-3bf2e0ebfc,Ascended Heroes,Entei,25/217,677013,Entei (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-25-217-3bf2e0ebfc,Ascended Heroes,Entei,25/217,676873,Entei (Quick Ball),LINKED
pkm-ascended-heroes-26-217-5c7034de06,Ascended Heroes,Ethan's Ho-Oh ex,26/217,675838,Ethan's Ho-Oh ex,LINKED
pkm-ascended-heroes-27-217-11230a7462,Ascended Heroes,Numel,27/217,675839,Numel - 027/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-27-217-11230a7462,Ascended Heroes,Numel,27/217,677014,Numel - 027/217 (Energy Symbol Pattern),SKIP_NAME_MISMATCH
pkm-ascended-heroes-27-217-11230a7462,Ascended Heroes,Numel,27/217,676874,Numel - 027/217 (Quick Ball),SKIP_NAME_MISMATCH
pkm-ascended-heroes-28-217-278eb8cebf,Ascended Heroes,Camerupt,28/217,675840,Camerupt,LINKED
pkm-ascended-heroes-28-217-278eb8cebf,Ascended Heroes,Camerupt,28/217,677015,Camerupt (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-28-217-278eb8cebf,Ascended Heroes,Camerupt,28/217,676875,Camerupt (Quick Ball),LINKED
pkm-ascended-heroes-29-217-803e7b43ed,Ascended Heroes,Tepig,29/217,675841,Tepig,LINKED
pkm-ascended-heroes-29-217-803e7b43ed,Ascended Heroes,Tepig,29/217,677016,Tepig (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-29-217-803e7b43ed,Ascended Heroes,Tepig,29/217,676876,Tepig (Friend Ball),LINKED
