item_id,title,game,audit_timestamp,confirmed_location,audit_status,notes,capture_image_path,source_file
147305482659,Victreebel 071/165 Scarlet & Violet 151 Reverse Holo NM Pokemon,pokemon,2026-06-29T15:53:43,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147306694444,Master Ball 153/162 ACE SPEC NM Pokemon,pokemon,2026-06-29T15:53:43,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147317919204,Zapdos ex 192/165 Pokemon 151 Ultra Rare,pokemon,2026-06-29T15:53:45,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147323836511,Gengar 050/088 Rare Perfect Order Pokemon Reverse Holo Near Mint,pokemon,2026-06-29T15:53:49,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147328720196,Pokémon TCG Scarlet & Violet Spiritomb #129/198 Rare Cosmos Holo Promo NM,pokemon,2026-06-29T15:53:58,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147328720903,Pokémon TCG Sableye 136/193 - Near Mint Cosmos Holo Promo - Paldea Evolved,pokemon,2026-06-29T15:53:59,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147328722206,Pokemon Obsidian Flames 136/197 Darkrai Cosmos Holo with Swirl,pokemon,2026-06-29T15:53:59,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147328750774,OGRE'S MASK 159/167 Twilight Masquerade Holo Rare Promo Pokemon Card Near Mint,pokemon,2026-06-29T15:54:01,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147328802593,Applin 020/192  Cosmos Holo Pokemon Card Rebel Clash NM,pokemon,2026-06-29T15:54:02,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147329553204,Walking Wake ex 189/162 Pokemon TCG Temporal Forces Ultra Rare Full Art FA,pokemon,2026-06-29T15:54:03,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147330533083,Ditto (Poke Ball Pattern) 132/165 SV2a: Pokemon Card 151 NM,pokemon,2026-06-29T15:54:04,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147330796291,Pokemon - Daisy's Help 195/165 - Ultra Rare Trainer Scarlet & Violet: 151,pokemon,2026-06-29T15:54:04,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147330797272,Giovanni’s Charisma 197/165 Full Art Trainer Pokémon TCG Scarlet & Violet 151 NM,pokemon,2026-06-29T15:54:06,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147331517681,Miracle Headset 183/191 Sv08: Surging Sparks Holo Ace Spec Pokémon TCG NM,pokemon,2026-06-29T15:54:06,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147336097761,DODRIO 047/060 COLLECTION Y JAPANESE POKEMON TCG,pokemon,2026-06-29T15:54:08,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147336114584,(Japanese) Poliwag 015/096 C - XY3 Rising Fist 1st Edition - Pokémon TCG (NM),pokemon,2026-06-29T15:54:10,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147336117082,Pokemon Card Japanese - Tool Retriever 083/096 - XY3 - 1st Edition,pokemon,2026-06-29T15:54:10,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147336754918,Pikachu (Pokemon Day 2026) 051/162 - NM - Tail Swirl,pokemon,2026-06-29T15:54:11,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147336760424,Pokemon Day 30th Anniversary - Pikachu 051 /162 2026 Promo NM - HEAD SWIRL,pokemon,2026-06-29T15:54:11,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147338097397,Fennekin #80 Chaos Rising Pokemon Center ETB stamped promo (SEALED),pokemon,2026-06-29T15:54:11,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147347754523,McDonald’s Pokemon Promo Lot - 10 Cards,pokemon,2026-06-29T15:54:11,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147351665593,Skrelp 058/086 Common ME04: Chaos Rising Pokemon Reverse Holo Near Mint,pokemon,2026-06-29T15:54:12,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147351671260,Emolga (Reverse Holo) - 030/086 - Chaos Rising (CRI) ME04 - Pokemon NM/M,pokemon,2026-06-29T15:54:12,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147359015530,Krookodile EX Full Art Holo 055/086 320 HP English Pokémon TCG,pokemon,2026-06-29T15:54:12,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147363821082,Eevee 188/167 - Pokémon Extended Artwork Display Case,pokemon,2026-06-29T15:54:12,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147377269248,Blipbug 018/196 NM Non Holo Cute Asako Ito Crocheted Art Pokémon Card!,pokemon,2026-06-29T15:54:12,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147377278620,Tynamo 44/147 NM / M - Asako Ito Crocheted Art - Burning Shadows Pokemon Card,pokemon,2026-06-29T15:54:13,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147377282859,Pokemon TCG Grubbin 018/264 Fusion Strike Common Asako Ito HP,pokemon,2026-06-29T15:54:13,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147379845157,Dragonite V 049/078 Pokémon GO Holo,pokemon,2026-06-29T15:54:13,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147379891645,Fairy Energy 8x Sword & Shield Retired Pokémon Trading Card Game 2020 NM,pokemon,2026-06-29T15:54:13,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147379892098,12x Fire 2017 Pokemon TCG Card Lot Basic Energy Sun and Moon Common NM/MT,pokemon,2026-06-29T15:54:14,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147382511866,[RARE] Pokemon Amada Sticker - Bulbasaur - Vintage Nintendo Product - Japanese.,pokemon,2026-06-29T15:54:14,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147382512654,PIDGEOTTO AMADA HYPER STICKER PART 1 1995 JAPANESE POKEMON TCG,pokemon,2026-06-29T15:54:14,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147382523813,Pokémon TCG Umbreon V Single Strike Foil 063/15 Gem Pack 2,pokemon,2026-06-29T15:54:15,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147384046842,Jolteon-V 0313/14 Gem Pack Volume 2 Pokemon Near Mint,pokemon,2026-06-29T15:54:15,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147384047154,Espeon-V 0513/14 Gem Pack Volume 2 Pokemon NM/M,pokemon,2026-06-29T15:54:15,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147388709864,NM Boss's Orders [Corbeau] 2026 Ascended Heroes- 256/217 Ultra Rare- Pokémon,pokemon,2026-06-29T15:54:16,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147392507156,Pokémon TCG: Crobat (Illustration Rare) - 93/86 - ME: Chaos Rising,pokemon,2026-06-29T15:54:16,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147393734073,Togedemaru 74/236 Common Cosmic Eclipse Pokemon Reverse Holo Near Mint,pokemon,2026-06-29T15:54:16,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147393734075,Ambipom 170/236 Uncommon Cosmic Eclipse Pokemon Reverse Holo Near Mint,pokemon,2026-06-29T15:54:16,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147393734077,Tangela 16/214 Common Unbroken Bonds Pokemon Reverse Holo Near Mint,pokemon,2026-06-29T15:54:16,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147393734079,Amoonguss 14/236 Rare Unified Minds Pokemon Reverse Holo Near Mint,pokemon,2026-06-29T15:54:17,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147393734080,Xerneas 078/185 Holo Rare Vivid Voltage Pokemon Holo Near Mint,pokemon,2026-06-29T15:54:17,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147393734082,Staryu 13/68 Common Hidden Fates Pokemon Reverse Holo Near Mint,pokemon,2026-06-29T15:54:17,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147393734083,Voltorb 21/68 Common Hidden Fates Pokemon Reverse Holo Near Mint,pokemon,2026-06-29T15:54:17,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147393734084,Capturing Aroma 153/195 Uncommon Prize Pack Series Cards Pokemon Holo Near Mint,pokemon,2026-06-29T15:54:18,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147395228624,Alomomola 112/086 Art Rare SV11B: Black Bolt Pokemon Japanese Holo Near Mint,pokemon,2026-06-29T15:54:19,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147395228631,Lunatone 184/172 Art Rare VSTAR Universe Pokemon Japanese Holo Near Mint,pokemon,2026-06-29T15:54:20,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147395228635,Feebas 110/106 Art Rare Super Electric Breaker Pokemon Japanese Holo Near Mint,pokemon,2026-06-29T15:54:20,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147395242784,Slowpoke 67/82 Common Team Rocket Pokemon 1st Edition Near Mint,pokemon,2026-06-29T15:54:21,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147395242787,Chikorita (Cosmos Holo) 069 Holo Promo ME: Mega Evolution Promo Pokemon Holo NM,pokemon,2026-06-29T15:54:21,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147395242788,Zekrom ex 034/086 Holo Double Rare Black Bolt Pokemon Holo Near Mint,pokemon,2026-06-29T15:54:22,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147395242794,Dragonite V SWSH154 Holo Promo Sword & Shield Promo Pokemon Holo Near Mint,pokemon,2026-06-29T15:54:23,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147395242796,Erika's Vileplume ex 003/217 Double Rare Ascended Heroes Pokemon Holo Near Mint,pokemon,2026-06-29T15:54:23,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147395242799,Venusaur ex 003/165 Double Rare 151 Pokemon Holo Near Mint,pokemon,2026-06-29T15:54:24,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147400859186,EEVEE 054/078 POKEMON GO COMMON NM,pokemon,2026-06-29T15:54:25,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147400859187,EEVEE 054/078 POKEMON GO COMMON NM,pokemon,2026-06-29T15:54:25,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147400859188,GYARADOS 022/078 POKEMON GO REVERSE HOLO HOLO RARE NM,pokemon,2026-06-29T15:54:26,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
147400859190,MELMETAL 046/078 POKEMON GO HOLO HOLO RARE NM,pokemon,2026-06-29T15:54:27,ETB-03-A,confirmed,,,C:\Users\JaredHill\OneDrive\PutnamCollectibles\Business\eBay_Store_Items\eBay-all-active-listings-report-2026-06-29-12328689686.csv
