item_id,title,current_sku,proposed_sku,reason,action,manual_review,duplicate_item_id
147395285997,Coeurl 12 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-KVHZJZ,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395285999,Commune with Beavers 182 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-CKJ84D,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286000,Hill Gigas 141 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-M9R2X5,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286002,Ice Flan 55 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-KSGNM7,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286003,Adventurer's Airship 252 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-NXTUU9,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286004,Gran Pulse Ochu 189 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-59KRPW,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286005,Summon: Choco/Mog 35 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-R5945G,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286006,Item Shopkeep 142 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-ZTETTR,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286007,Malboro 106 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-9TE6TP,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286008,Bard's Bow 174 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-WJDNSS,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286009,Rook Turret 69 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-MFGYE8,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286010,Coeurl 12 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-KVHZJZ,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286011,Monk's Fist 265 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-G689BA,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286012,Sahagin 71 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-R2WT4E,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286013,Qutrub Forayer 112 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-M6BU7W,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286014,Call the Mountain Chocobo 131 Common FINAL FANTASY Magic: The Gathering NM,CS-6D3WY7,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286015,Ice Flan 55 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-KSGNM7,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286016,Commune with Beavers 182 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-CKJ84D,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286017,Summon: Choco/Mog 35 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-R5945G,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286018,White Auracite 41 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-MK44GQ,,possible_card_specific_identifier_manual_review,manual_review,True,False
